geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
CG11529,FBgn0036264,socArena - vial,0.303844362702158,0.0599581464187633,127,0.185198011304136,0.42249071410018,5.06760767052453,1.38743523246008e-06
CG10973,FBgn0036306,socArena - vial,-0.0952340258053658,0.0206977432920131,127,-0.136191124555866,-0.0542769270548656,-4.60117919435763,1.00348520564263e-05
bmm,FBgn0036449,socArena - vial,-0.384925419589474,0.0327965367365463,127,-0.449823847154351,-0.320026992024597,-11.7367703389406,5.36129880727484e-22
Pgant8,FBgn0036529,socArena - vial,-0.203854110193353,0.0467548651838087,127,-0.296373550761472,-0.111334669625235,-4.36006198268214,2.66031554949787e-05
CG10516,FBgn0036549,socArena - vial,0.367511673271284,0.0616092016253612,127,0.245598181577573,0.489425164964994,5.96520752705224,2.26961271850798e-08
FBgn0036772,FBgn0036772,socArena - vial,-0.22963225146643,0.046278107886797,127,-0.321208275381909,-0.13805622755095,-4.96200605323241,2.19387664210889e-06
Ir75d,FBgn0036829,socArena - vial,-0.628874422931355,0.159896368491423,127,-0.945280480430227,-0.312468365432483,-3.93301254346553,0.000137224327614533
CG9449,FBgn0036875,socArena - vial,-0.143131602599566,0.0367294653451835,127,-0.215812586123806,-0.0704506190753261,-3.896914949739,0.000156808344015651
Rcd2,FBgn0037012,socArena - vial,-0.163271349793483,0.0334426910938309,127,-0.229448400222988,-0.0970942993639775,-4.88212355086463,3.09065300824521e-06
Cerk,FBgn0037315,socArena - vial,-0.0852083985956382,0.0135562311518549,127,-0.112033733615876,-0.0583830635754006,-6.2855522040858,4.80517641469817e-09
Osi8,FBgn0037415,socArena - vial,-0.41636802886278,0.102437540439578,127,-0.61907343497153,-0.21366262275403,-4.06460392426515,8.37819807472695e-05
FBgn0037519,FBgn0037519,socArena - vial,-0.309528763624382,0.0783385499782008,127,-0.46454661664154,-0.154510910607223,-3.95116789512333,0.000128278272865681
FBgn0037548,FBgn0037548,socArena - vial,-0.168852453647635,0.0410957566362792,127,-0.250173539672898,-0.0875313676223715,-4.10875641351673,7.08249988242729e-05
Srr,FBgn0037684,socArena - vial,-0.299433875716991,0.0504445569433495,127,-0.399254550415921,-0.199613201018062,-5.93590059782392,2.61062228338725e-08
Phyhd1,FBgn0037819,socArena - vial,0.294610738056495,0.042654454368358,127,0.210205270510297,0.379016205602692,6.90691611038501,2.12605573621274e-10
FBgn0037934,FBgn0037934,socArena - vial,-0.166007562438965,0.0403967022212899,127,-0.245945345932027,-0.0860697789459029,-4.10943352577616,7.06420809581778e-05
Cyp9f2,FBgn0038037,socArena - vial,-0.0987847580523426,0.0222790741508899,127,-0.142871025197217,-0.0546984909074685,-4.43397052244187,1.98022482674322e-05
Paip2,FBgn0038100,socArena - vial,-0.184738736777176,0.0217063054094296,127,-0.227691597947581,-0.141785875606771,-8.51083283371304,4.14612671830955e-14
Adgf-D,FBgn0038172,socArena - vial,-0.173431562218995,0.0343894434413167,127,-0.241482064688231,-0.105381059749759,-5.04316280997524,1.54348279698653e-06
Cyp6d5,FBgn0038194,socArena - vial,-0.165726192747254,0.0390394689938817,127,-0.242978256616773,-0.0884741288777349,-4.24509341490343,4.18369492379049e-05
CG3505,FBgn0038250,socArena - vial,-0.127357025338855,0.0320992738371441,127,-0.190875695457571,-0.0638383552201381,-3.96759833213055,0.0001206639339797
Amt,FBgn0038309,socArena - vial,-0.605520817571892,0.146340873803037,127,-0.895102997378825,-0.315938637764958,-4.13774225775686,6.33866781471721e-05
AOX3,FBgn0038349,socArena - vial,-0.154136766561976,0.0327467117560536,127,-0.218936599482138,-0.0893369336418143,-4.70693875190331,6.47452231058127e-06
CG4576,FBgn0038366,socArena - vial,-0.322435085737039,0.0661171478298924,127,-0.453268989441665,-0.191601182032412,-4.87672406206339,3.1626942506905e-06
CG8925,FBgn0038404,socArena - vial,-0.342709633574178,0.0717445831400257,127,-0.484679216200773,-0.200740050947583,-4.77680151692153,4.83067322239161e-06
P5cr-2,FBgn0038516,socArena - vial,-0.232873693658764,0.0585216652192569,127,-0.348677507997969,-0.117069879319558,-3.97927319371861,0.000115517601895321
FBgn0038865,FBgn0038865,socArena - vial,-0.224676086665136,0.0458345812019445,127,-0.315374451312467,-0.133977722017804,-4.90189024909437,2.84026152822619e-06
CG6688,FBgn0039038,socArena - vial,-0.41671861429538,0.0815471424336596,127,-0.578085692742301,-0.25535153584846,-5.11015593997533,1.15165955150766e-06
FBgn0039151,FBgn0039151,socArena - vial,0.331328828666355,0.0453323622971363,127,0.241624264598555,0.421033392734155,7.30888071736966,2.65035246762482e-11
Root,FBgn0039152,socArena - vial,0.184129023532181,0.0383712908894945,127,0.108199163548284,0.260058883516078,4.79861425726995,4.40609124288514e-06
CG11089,FBgn0039241,socArena - vial,-0.204954471605676,0.050873567838257,127,-0.305624081444049,-0.104284861767302,-4.02870253286127,9.59591206167343e-05
Ctl2,FBgn0039637,socArena - vial,-0.0888653463542689,0.0219408863466596,127,-0.132282400865734,-0.0454482918428042,-4.05021679389896,8.84730458644575e-05
CG11951,FBgn0039656,socArena - vial,-0.17652837200953,0.0441588984187017,127,-0.263910862831415,-0.0891458811876447,-3.9975719125903,0.000107870570363652
FBgn0039864,FBgn0039864,socArena - vial,-0.263781534712352,0.0628388610797506,127,-0.388128300555441,-0.139434768869264,-4.19774531523701,5.02948663138497e-05
meso18E,FBgn0040089,socArena - vial,0.148204601382159,0.0331562248334052,127,0.0825944159848176,0.213814786779501,4.4698876945979,1.71355734636429e-05
eIF3d1,FBgn0040227,socArena - vial,-0.0774972701767313,0.0191556092094568,127,-0.115402763879538,-0.0395917764739246,-4.04566982596785,9.00071254438666e-05
Best1,FBgn0040238,socArena - vial,-0.127192991356924,0.0292920902940204,127,-0.185156751843011,-0.0692292308708369,-4.34222993580245,2.85533620836857e-05
Ugt35C1,FBgn0040256,socArena - vial,-0.247284113060965,0.051779501199266,127,-0.349746401531242,-0.144821824590689,-4.77571446873016,4.85283839425116e-06
CG11741,FBgn0040531,socArena - vial,0.798392929684,0.110298954366044,127,0.580131204127175,1.01665465524082,7.23844513552151,3.82997362672579e-11
CG3348,FBgn0040609,socArena - vial,0.596341217094692,0.0919632250172799,127,0.414362590956226,0.778319843233159,6.48456181242709,1.79604301229305e-09
comm2,FBgn0041160,socArena - vial,-0.530454548647159,0.0386101456237048,127,-0.606857059045068,-0.454052038249251,-13.738734730943,6.94478681823052e-27
Prat2,FBgn0041194,socArena - vial,0.186838706800027,0.0420747715656553,127,0.103580326907749,0.270097086692305,4.44063508481504,1.92789623171396e-05
Or69a,FBgn0041622,socArena - vial,-0.892494747616504,0.210315245798382,127,-1.30867066444817,-0.476318830784836,-4.24360461472247,4.20807466199135e-05
Or65b,FBgn0041624,socArena - vial,-0.839097452183733,0.175808830481612,127,-1.18699140031401,-0.49120350405346,-4.77278331176599,4.91309764318776e-06
OS9,FBgn0042129,socArena - vial,-0.479463440504695,0.112323625781601,127,-0.701731625409978,-0.257195255599412,-4.26858941890776,3.81643595922674e-05
cbt,FBgn0043364,socArena - vial,0.10036510279604,0.0236736279879782,127,0.0535192652761408,0.147210940315939,4.23953197401796,4.27546465011988e-05
bin,FBgn0045759,socArena - vial,-0.962764714584686,0.225186531590781,127,-1.4083682222485,-0.517161206920871,-4.27540984704301,3.71576204674886e-05
yuri,FBgn0045842,socArena - vial,-0.119329044825661,0.0221055140921856,127,-0.163071867935927,-0.0755862217153954,-5.39815741574834,3.18746971897686e-07
NT5E-2,FBgn0050104,socArena - vial,-0.160425061717654,0.0287244511987974,127,-0.217265566873453,-0.103584556561856,-5.58496524815663,1.35620232876585e-07
CG30334,FBgn0050334,socArena - vial,-0.847431361243349,0.185410874380267,127,-1.21432602141336,-0.480536701073342,-4.57055911135673,1.13787485343274e-05
CG30431,FBgn0050431,socArena - vial,0.332105540751379,0.0548292426794847,127,0.223608364264252,0.440602717238506,6.05708786993043,1.46006532767251e-08
Cyp12d1-p,FBgn0050489,socArena - vial,-0.422946172081311,0.0707692748990728,127,-0.562985795708352,-0.282906548454271,-5.97640957441621,2.15116827033477e-08
modSP,FBgn0051217,socArena - vial,-0.138096228355352,0.0258245205077551,127,-0.189198294010432,-0.0869941627002722,-5.3474847021412,4.00758238974667e-07
