gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0051100,FBtr0082011,down - control,-0.356085660731267,0.100333927128674,268,-3.54900551509963,0.00602774122578742
FBgn0261552,FBtr0111029,down - control,0.390835122946984,0.0798689177566132,676,4.89345710352539,0.00012405247751246
FBgn0261552,FBtr0302694,down - control,0.777288314357379,0.0822461960316642,676,9.45075093878055,0
FBgn0261552,FBtr0302695,down - control,0.40890927293252,0.0791502475730975,676,5.16624123702052,3.20308238943579e-05
FBgn0004889,FBtr0345177,down - control,1.10447706078593,0.238211670472296,540,4.63653631493418,0.000276785838640103
FBgn0260944,FBtr0082275,down - control,0.135717065156913,0.0391730348429201,269,3.46455324947696,0.00804670721330869
FBgn0037890,FBtr0082360,down - control,0.311073294827785,0.0721018829469392,268,4.31435743580661,0.000322428448685019
FBgn0037926,FBtr0335447,down - control,-0.537760764444176,0.09888866181603,404,-5.43804268930863,3.32119251289509e-06
FBgn0051363,FBtr0082452,down - control,1.56984119798006,0.348431836783569,948,4.50544706956608,0.00139167581908373
FBgn0038098,FBtr0331429,down - control,1.35555113974591,0.206965300632084,404,6.54965414784982,6.29111585048747e-09
FBgn0000046,FBtr0346242,down - control,0.244462971526174,0.059859536419337,268,4.08394361449151,0.00082311368636101
FBgn0262955,FBtr0082892,down - control,0.444062802102527,0.0864630236314784,268,5.13586945553982,7.99745877988478e-06
FBgn0262955,FBtr0344600,down - control,-0.594858791745087,0.0868938146805358,268,-6.84581283411344,7.75424835453009e-10
FBgn0024321,FBtr0082942,down - control,-0.155858800889051,0.0379857466458372,268,-4.10308641139035,0.000762798155712674
FBgn0020299,FBtr0082959,down - control,-0.62221593677047,0.134757650572227,540,-4.61729582052174,0.00030211962788862
FBgn0020299,FBtr0334956,down - control,-0.423355471885151,0.126881748694392,540,-3.33661441650561,0.0423551662341065
FBgn0003507,FBtr0306244,down - control,0.610879610223705,0.147175667094642,404,4.15068348105992,0.0013301520043385
